ticker,timestamp_utc,timestamp_ny,session_date_ny,bar_number_in_session,bar_interval_minutes,open,high,low,close,volume,market_cap_raw,session_bar_count,is_full_session,is_short_session,is_incomplete_session,source_file
AMD,2024-08-13 13:30:00+00:00,2024-08-13T09:30:00-0400,2024-08-13,1,60,136.58409478142858,140.7,136.58409478142858,139.0725,1083150,234252785943.84787,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-13 13:30:00+00:00,2024-08-13T09:30:00-0400,2024-08-13,1,60,335.1916191080705,339.5,333.59,336.4525,28940,164049440158.26813,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-13 13:30:00+00:00,2024-08-13T09:30:00-0400,2024-08-13,1,60,406.1309389573396,412.88,406.1309389573396,410.67,331068,3107251735499.811,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-13 13:30:00+00:00,2024-08-13T09:30:00-0400,2024-08-13,1,60,116.785020236638,117.26,116.07,116.64,60765,155418463174.53223,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-13 14:30:00+00:00,2024-08-13T10:30:00-0400,2024-08-13,2,60,137.82829739071428,140.47,137.82829739071428,139.83375,634532,235535030336.519,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-13 14:30:00+00:00,2024-08-13T10:30:00-0400,2024-08-13,2,60,335.82205955403526,336.56,333.93,335.33,18969,163502125168.55142,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-13 14:30:00+00:00,2024-08-13T10:30:00-0400,2024-08-13,2,60,408.4004694786698,413.76,408.4004694786698,411.8825,261426,3116425872225.8774,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-13 14:30:00+00:00,2024-08-13T10:30:00-0400,2024-08-13,2,60,116.712510118319,116.8,116.17,116.515,43850,155251905322.19324,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-13 15:30:00+00:00,2024-08-13T11:30:00-0400,2024-08-13,3,60,138.83102369535715,140.7,138.83102369535715,140.0075,508265,235827693670.8068,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-13 15:30:00+00:00,2024-08-13T11:30:00-0400,2024-08-13,3,60,335.57602977701765,338.09,335.05,336.4549999999999,16279,164050659122.61044,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-13 15:30:00+00:00,2024-08-13T11:30:00-0400,2024-08-13,3,60,410.1414847393349,413.91,410.1414847393349,413.285,157138,3127037605634.791,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-13 15:30:00+00:00,2024-08-13T11:30:00-0400,2024-08-13,3,60,116.6137550591595,116.88,116.59,116.7225,42245,155528391357.07593,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-13 16:30:00+00:00,2024-08-13T12:30:00-0400,2024-08-13,4,60,139.41926184767857,141.0,139.41926184767857,140.25,400029,236236159043.84164,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-13 16:30:00+00:00,2024-08-13T12:30:00-0400,2024-08-13,4,60,336.0155148885088,338.22,336.0155148885088,337.31,11684,164467544927.69537,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-13 16:30:00+00:00,2024-08-13T12:30:00-0400,2024-08-13,4,60,411.71324236966746,414.95,411.71324236966746,413.94999999999993,162107,3132069194024.7563,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-13 16:30:00+00:00,2024-08-13T12:30:00-0400,2024-08-13,4,60,116.66812752957976,116.97,116.61,116.7575,28109,155575027555.73083,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-13 17:30:00+00:00,2024-08-13T13:30:00-0400,2024-08-13,5,60,139.83463092383928,140.9,139.83463092383928,140.565,296901,236766742930.46417,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-13 17:30:00+00:00,2024-08-13T13:30:00-0400,2024-08-13,5,60,336.6627574442544,338.35,336.5,337.56,13713,164589441361.93073,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-13 17:30:00+00:00,2024-08-13T13:30:00-0400,2024-08-13,5,60,412.8316211848337,414.77,412.8316211848337,414.0625,123414,3132920402586.969,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-13 17:30:00+00:00,2024-08-13T13:30:00-0400,2024-08-13,5,60,116.71281376478989,116.89,116.6,116.72,37885,155525060200.02914,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-13 18:30:00+00:00,2024-08-13T14:30:00-0400,2024-08-13,6,60,140.19981546191963,140.85,140.03,140.54000000000002,249804,236724633098.19257,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-13 18:30:00+00:00,2024-08-13T14:30:00-0400,2024-08-13,6,60,337.1113787221272,338.95,337.1113787221272,338.3025,14763,164951473771.60968,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-13 18:30:00+00:00,2024-08-13T14:30:00-0400,2024-08-13,6,60,413.4470605924169,414.85,413.4470605924169,414.165,113079,3133695948165.873,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-13 18:30:00+00:00,2024-08-13T14:30:00-0400,2024-08-13,6,60,116.71640688239492,116.95,116.67,116.7925,69963,155621663754.38574,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-13 19:30:00+00:00,2024-08-13T15:30:00-0400,2024-08-13,7,60,140.36990773095982,141.18,140.31,140.775,442270,237120465521.54587,7,True,False,False,"BATS_AMD, 60.csv"
